{{9., 3.}, {0., 230.10690262466358, 361.5767755188776}}
{{9., 4.}, {0., 263.4892861748649, 360.1977466541443}}
{{9., 5.}, {0., 290.3047582599587, 359.5301599366088}}
{{9., 6.}, {0., 308.52449761775665, 359.2564012838404}}
{{9., 7.}, {0., 327.76842310462507, 358.5483969078566}}
{{9., 8.}, {0., 343.22577904147977, 358.77422095852023}}
{{9., 9.}, {0., 358.77422095852023, 358.77422095852023}}
{{9., 10.}, {0., 374.23157689537493, 358.5483969078566}}
{{9., 11.}, {0., 393.47550238224335, 359.2564012838404}}
{{9., 12.}, {0., 411.6952417400413, 359.5301599366088}}
{{9., 13.}, {0., 438.5107138251351, 360.1977466541443}}
{{9., 14.}, {0., 471.8930973753364, 361.5767755188776}}
{{9., 15.}, {0., 530.0334181536706, 363.51923616283557}}
{{10., 2.}, {0., 162.44994388123214, 394.53021039276337}}
{{10., 3.}, {0., 225.30248543456122, 384.6805475184086}}
{{10., 4.}, {0., 264.16646895978505, 379.2139245284173}}
{{10., 5.}, {0., 286.87931569668854, 378.2176156848822}}
{{10., 6.}, {0., 309.65118052401033, 375.844877266402}}
{{10., 7.}, {0., 327.1901011666574, 374.8098988333426}}
{{10., 8.}, {0., 343.4516030921434, 374.23157689537493}}
{{10., 9.}, {0., 358.5483969078566, 374.23157689537493}}
{{10., 10.}, {0., 374.8098988333426, 374.8098988333426}}
{{10., 11.}, {0., 392.34881947598967, 375.844877266402}}
{{10., 12.}, {0., 415.12068430331146, 378.2176156848822}}
{{10., 13.}, {0., 437.83353104021495, 379.2139245284173}}
{{10., 14.}, {0., 476.6975145654388, 384.6805475184086}}
{{10., 15.}, {0., 539.5500561187679, 394.53021039276337}}
{{11., 2.}, {0., 139.3492251196897, 432.24512046392834}}
{{11., 3.}, {0., 218.93516164894007, 409.79905435452673}}
{{11., 4.}, {0., 258.7741037407484, 402.12164907484726}}
{{11., 5.}, {0., 284.97702308393656, 398.9685005550363}}
{{11., 6.}, {0., 307.6602030552393, 394.3397969447607}}
{{11., 7.}, {0., 326.155122733598, 392.34881947598967}}
{{11., 8.}, {0., 342.7435987161596, 393.47550238224335}}
{{11., 9.}, {0., 359.2564012838404, 393.47550238224335}}
{{11., 10.}, {0., 375.844877266402, 392.34881947598967}}
{{11., 11.}, {0., 394.3397969447607, 394.3397969447607}}
{{11., 12.}, {0., 417.02297691606344, 398.9685005550363}}
{{11., 13.}, {0., 443.2258962592516, 402.12164907484726}}
{{11., 14.}, {0., 483.06483835105996, 409.79905435452673}}
{{11., 15.}, {0., 562.6507748803103, 432.24512046392834}}
{{12., 3.}, {0., 198.80029976616288, 446.1049280459117}}
{{12., 4.}, {0., 248.4548661156092, 431.1170391720815}}
{{12., 5.}, {0., 281.57515285532565, 420.42484714467435}}
{{12., 6.}, {0., 303.0314994449637, 417.02297691606344}}
{{12., 7.}, {0., 323.7823843151178, 415.12068430331146}}
{{12., 8.}, {0., 342.4698400633912, 411.6952417400413}}
{{12., 9.}, {0., 359.5301599366088, 411.6952417400413}}
{{12., 10.}, {0., 378.2176156848822, 415.12068430331146}}
{{12., 11.}, {0., 398.9685005550363, 417.02297691606344}}
{{12., 12.}, {0., 420.42484714467435, 420.42484714467435}}
